Date,Product ID,Product Name ,Amount,Cost,Price($),State,Profit,Lookup Id,Lookup Price,LookUp Name
11/10/2020,14,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink,7,0.6,19.99,Sold-out,19.39,1,16.99,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Lemon Yellow
12/10/2020,72,Apple Silicone Case with MagSafe (for iPhone 13 Pro) - Pink Pomelo,13,14.19,49,Sold-out,34.81,2,16.14,CASEKOO [Upgraded] Clear for iPhone 13 Case [Non-Yellowing] [Anti-Fingerprint] 8FT Military Grade Shockproof Protective Phone Case Non-Slip Cover Slim Fit 6.1 inch - (Matte Clear)
13/10/2020,35,Humixx Shockproof Series for iPhone 13 Case [10FT Military Grade Drop Protection] [Ultimate Touch Feeling] Translucent Matte Back and 4-Corner Airbag Armor Phone Case iPhone 13 6.1 inch Space Black,21,11.54,19.99,Sold-out,8.45,3,16.98,Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Blue
14/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),20,16.24,23.99,Sold-out,7.75,4,16.98,Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Clove Purple
15/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),14,2.71,23.99,Sold-out,21.28,5,21.99,CASEKOO Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Drop Protection] Shockproof Protective Slim Phone Case 6.1 inch 2021 Black
16/10/2020,80,LOZOP Compatible with iPhone 13 Case Military Grade Shockproof Cover Protective Phone Case with Screen Protector for iPhone 13 6.1 Inch (Black),8,2.26,12.89,Sold-out,10.63,6,21.99,CASEKOO Crystal Series for iPhone 13 case [Military Grade Drop Protection][Not Yellowing] Shockproof Protective Phone Case Slim Cover 6.1 inch 2021 Pink
17/10/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),0,5.74,15.99,Sold-out,10.25,7,39.95,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - MAVEN WAY
18/10/2020,2,CASEKOO [Upgraded] Clear for iPhone 13 Case [Non-Yellowing] [Anti-Fingerprint] 8FT Military Grade Shockproof Protective Phone Case Non-Slip Cover Slim Fit 6.1 inch - (Matte Clear),8,11.44,16.14,Sold-out,4.7,8,39.95,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - ROCK SKIP WAY
19/10/2020,39,Spigen Ultra Hybrid Designed for iPhone 13 Pro Case (2021) - Red Crystal,5,11.7,16.99,Sold-out,5.29,9,15.99,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black)
20/10/2020,67,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,14,8.61,20.98,Sold-out,12.37,10,17.99,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Light Green)
21/10/2020,67,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,15,15.46,20.98,Sold-out,5.52,11,16.99,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Abundant Blossom/White)
22/10/2020,55,"Diaclara Designed for iPhone 13 Case Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector Soft TPU Bumper Case for iPhone 13 6.1"" (Pearl Pink)",12,2.53,14.99,Sold-out,12.46,12,16.99,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Buttercup/Purple)
23/10/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",13,2.16,2.99,Sold-out,0.83,13,23.99,CASEKOO Multi Armor for iPhone 13 Case [Mil-Grade Drop Tested] Slim Thin Protective Phone Cases Matte Translucent Shockproof Cover 6.1 inch 2021 Blue
24/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),6,10.12,23.99,Sold-out,13.87,14,19.99,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink
25/10/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),4,8.63,15.99,Sold-out,7.36,15,18.99,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Blue
26/10/2020,69,Smartish iPhone 13 Slim Case - Gripmunk - [Lightweight + Protective] Thin Grip Cover - Black Tie Affair,9,8.18,14.99,Sold-out,6.81,16,14.99,Spigen Rugged Armor Designed for iPhone 13 Case (2021) - Matte Black
27/10/2020,84,NKECXKJ Design for iPhone 13 Mini Phone Case with Screen Protector Card Holder Stand Kickstand Heavy Duty Slim Shockproof Hybrid Rugged Drop Protective Cover for Women Men Girls 5.4 inch Black,18,11.02,15.99,Sold-out,4.97,17,16.99,"K TOMOTO Compatible with iPhone 13 Case [Drop Protection] [Anti-Scratch] Shockproof Liquid Silicone Anti-Fingerprint Cover with Microfiber Lining Phone Case for iPhone 13 6.1"" (2021) Hot Pink"
28/10/2020,13,CASEKOO Multi Armor for iPhone 13 Case [Mil-Grade Drop Tested] Slim Thin Protective Phone Cases Matte Translucent Shockproof Cover 6.1 inch 2021 Blue,2,21.38,23.99,Sold-out,2.61,18,13.99,Mkeke Compatible with iPhone 13 Case Clear Transparent Shockproof Protective Bumpers Phone Cases for iPhone 13 Released 2021
29/10/2020,62,Spigen Ultra Hybrid Designed for iPhone 13 Pro Max Case (2021) - Matte Black,16,12.13,15.99,Sold-out,3.86,19,15.99,Mkeke Compatible with iPhone 13 Case Blue Transparent Shockproof Protective Phone Cases for iPhone 13 Released 2021 Blue
30/10/2020,80,LOZOP Compatible with iPhone 13 Case Military Grade Shockproof Cover Protective Phone Case with Screen Protector for iPhone 13 6.1 Inch (Black),21,0.68,12.89,Sold-out,12.21,20,7.99,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (HD Clear)
31/10/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",10,1.79,2.99,Sold-out,1.2,21,9.99,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (Blue)
01/11/2020,11,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Abundant Blossom/White),7,0.49,16.99,Sold-out,16.5,22,14.99,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-WineRed
02/11/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),15,0.31,15.99,Sold-out,15.68,23,14.98,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Blue
03/11/2020,97,TAURI [3 in 1] Defender Designed for iPhone 13 Pro Case 6.1 Inch with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector [Military Grade Protection] Shockproof Slim Thin,8,2.75,15.29,Sold-out,12.54,24,17.99,Humixx Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Protection] [Anti-Scratch] Hard PC Back and Soft TPU Bumper Shockproof Protective 13 Phone Case Cover 6.1 Inch
04/11/2020,63,Spigen Ultra Hybrid S [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,13,0.94,16.99,Sold-out,16.05,25,21.99,Humixx Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Tested] [Anti-Scratch] Clear PC Back with Soft Black TPU Bumper Slim Fit Protective Cover for 13 Phone 6.1 Inch Bright Black
05/11/2020,6,CASEKOO Crystal Series for iPhone 13 case [Military Grade Drop Protection][Not Yellowing] Shockproof Protective Phone Case Slim Cover 6.1 inch 2021 Pink,8,16.74,21.99,Sold-out,5.25,26,14.99,ORNARTO Compatible with iPhone 13 Case 6.1 Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Cover 6.1 inch-Navy Blue
