Title,Price,Amount,Overall-Rating,Total-Reviews,Availability,Color,Brand,Material,Special-Feature,Discount-Amount
ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Lemon Yellow,$16.99,3,4.5 out of 5 stars,1.133 ratings,In Stock.,Lemon Yellow,ORNARTO,"Silicone, Rubber, Gel",Heavy Duty Protection,NA
CASEKOO [Upgraded] Clear for iPhone 13 Case [Non-Yellowing] [Anti-Fingerprint] 8FT Military Grade Shockproof Protective Phone Case Non-Slip Cover Slim Fit 6.1 inch - (Matte Clear),$16.14,8,4.7 out of 5 stars,279 ratings,In Stock.,Matte Clear,CASEKOO,Thermoplastic Polyurethane,"Military Grade Protection, Slim Fit, Anti-yellowing, Non-Slip, Anti-fingerprint",$3.85
Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Blue,$16.98,8,4.6 out of 5 stars,4.212 ratings,In Stock.,Blue,Cordking,Silicone,"Raised lips, Smooth, Slim, Soft Microfiber Lining, Perfect fits",NA
Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Clove Purple,$16.98,10,4.6 out of 5 stars,4.212 ratings,In Stock.,Clove Purple,Cordking,Silicone,"Raised lips, Smooth, Slim, Soft Microfiber Lining, Perfect fits",NA
CASEKOO Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Drop Protection] Shockproof Protective Slim Phone Case 6.1 inch 2021 Black,$21.99,0,4.7 out of 5 stars,5.005 ratings,Sold,Black,CASEKOO,"Rubber, Thermoplastic Polyurethane","Lightweight, Shock-Absorbent",$8.01
CASEKOO Crystal Series for iPhone 13 case [Military Grade Drop Protection][Not Yellowing] Shockproof Protective Phone Case Slim Cover 6.1 inch 2021 Pink,$21.99,3,4.7 out of 5 stars,5.005 ratings,In Stock.,Pink,CASEKOO,"Polycarbonate, Thermoplastic Polyurethane","Slim Fit, Heavy Duty Protection, Kickstand",NA
OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - MAVEN WAY,$39.95,10,4.8 out of 5 stars,687 ratings,In Stock.,MAVEN WAY,OtterBox,Polycarbonate,Antimicrobial,NA
OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - ROCK SKIP WAY,$39.95,0,4.8 out of 5 stars,978 ratings,Sold,ROCK SKIP W,OtterBox,Synthetic rubber slipcover Polycarbonate shell,Antimicrobial,NA
Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),$15.99,4,4.3 out of 5 stars,2.876 ratings,In Stock.,Black,Red2Fire,NA,,NA
Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Light Green),$17.99,7,4.3 out of 5 stars,2.876 ratings,In Stock.,Light Green,Red2Fire,"Polycarbonate, Thermoplastic Polyurethane",,NA
GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Abundant Blossom/White),$16.99,7,4.8 out of 5 stars,2.233 ratings,In Stock.,Abundant Blossom/White,GVIEWIN,Thermoplastic Polyurethane,"Camera Lens Cover, Bumper, Slim Fit, Lightweight, Shock-Absorbent, Screen Protector",NA
GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Buttercup/Purple),$16.99,7,4.8 out of 5 stars,2.233 ratings,In Stock.,Buttercup/Purple,GVIEWIN,Thermoplastic Polyurethane,"Camera Lens Cover, Bumper, Slim Fit, Lightweight, Shock-Absorbent, Screen Protector",NA
CASEKOO Multi Armor for iPhone 13 Case [Mil-Grade Drop Tested] Slim Thin Protective Phone Cases Matte Translucent Shockproof Cover 6.1 inch 2021 Blue,$23.99,7,4.8 out of 5 stars,1.373 ratings,In Stock.,Blue,CASEKOO,NA,NA,$3.00
PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink,$19.99,2,4.7 out of 5 stars,27 ratings,In Stock.,Pink,PELEPUES,"Metal, Polycarbonate, Thermoplastic Polyurethane",,NA
PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Blue,$18.99,6,4.7 out of 5 stars,27 ratings,In Stock.,Blue,PELEPUES,"Metal, Polycarbonate, Thermoplastic Polyurethane",,NA
Spigen Rugged Armor Designed for iPhone 13 Case (2021) - Matte Black,$14.99,9,4.7 out of 5 stars,516 ratings,In Stock.,Matte Black,Spigen,"Carbon Fiber, Thermoplastic Polyurethane",Heavy Duty Protection,NA
