Date ,Product ID,Product Name ,Amount,Cost,Price($),State,Profit,Lookup Id,Lookup Price,LookUp Name
11/10/2020,14,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink,1,0.60,19.99,Sold-out,19.39,1,16.99,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Lemon Yellow
12/10/2020,72,Apple Silicone Case with MagSafe (for iPhone 13 Pro) - Pink Pomelo,3,14.19,49,Sold-out,34.81,2,16.14,CASEKOO [Upgraded] Clear for iPhone 13 Case [Non-Yellowing] [Anti-Fingerprint] 8FT Military Grade Shockproof Protective Phone Case Non-Slip Cover Slim Fit 6.1 inch - (Matte Clear)
13/10/2020,35,Humixx Shockproof Series for iPhone 13 Case [10FT Military Grade Drop Protection] [Ultimate Touch Feeling] Translucent Matte Back and 4-Corner Airbag Armor Phone Case iPhone 13 6.1 inch Space Black,2,11.54,19.99,Sold-out,8.45,3,16.98,Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Blue
14/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),2,16.24,23.99,Sold-out,7.75,4,16.98,Cordking Designed for iPhone 13 Case Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Clove Purple
15/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),3,2.71,23.99,Sold-out,21.28,5,21.99,CASEKOO Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Drop Protection] Shockproof Protective Slim Phone Case 6.1 inch 2021 Black
16/10/2020,80,LOZOP Compatible with iPhone 13 Case Military Grade Shockproof Cover Protective Phone Case with Screen Protector for iPhone 13 6.1 Inch (Black),2,2.26,12.89,Sold-out,10.63,6,21.99,CASEKOO Crystal Series for iPhone 13 case [Military Grade Drop Protection][Not Yellowing] Shockproof Protective Phone Case Slim Cover 6.1 inch 2021 Pink
17/10/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),2,5.74,15.99,Sold-out,10.25,7,39.95,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - MAVEN WAY
18/10/2020,2,CASEKOO [Upgraded] Clear for iPhone 13 Case [Non-Yellowing] [Anti-Fingerprint] 8FT Military Grade Shockproof Protective Phone Case Non-Slip Cover Slim Fit 6.1 inch - (Matte Clear),0,11.44,16.14,Sold-out,4.70,8,39.95,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - ROCK SKIP WAY
19/10/2020,39,Spigen Ultra Hybrid Designed for iPhone 13 Pro Case (2021) - Red Crystal,0,11.70,16.99,Sold-out,5.29,9,15.99,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black)
20/10/2020,67,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,0,8.61,20.98,Sold-out,12.37,10,17.99,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Light Green)
21/10/2020,67,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,1,15.46,20.98,Sold-out,5.52,11,16.99,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Abundant Blossom/White)
22/10/2020,55,"Diaclara Designed for iPhone 13 Case Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector Soft TPU Bumper Case for iPhone 13 6.1"" (Pearl Pink)",3,2.53,14.99,Sold-out,12.46,12,16.99,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Buttercup/Purple)
23/10/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",1,2.16,2.99,Sold-out,0.83,13,23.99,CASEKOO Multi Armor for iPhone 13 Case [Mil-Grade Drop Tested] Slim Thin Protective Phone Cases Matte Translucent Shockproof Cover 6.1 inch 2021 Blue
